interface,intf_op_status,vrf,ip_address
ge-0/0/0.0,up,default,172.10.13.2/30
ge-0/0/1.0,up,default,172.10.23.2/30
ge-0/0/2.500,up,VPNA,10.10.1.1/30
ge-0/0/4.100,up,VRF-A,10.123.100.1/24
ge-0/0/4.200,up,VRF-B,10.123.200.1/24

