interface,intf_op_status,vrf,ip_address
 ge-0/0/0.0,up,default,inet,41.234.66.104/27
 ge-0/2/4.1164,down,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
 ge-0/2/5.710,down,default,inet,10.158.52.18/30
ge-0/3/6.2550,down,VODA-VPLS-BITSTREAM,{u'address-family-name': u'vpls'}
ge-1/1/0.3050,down,ORANGE-VPLS-BITSTREAM,{u'address-family-name': u'vpls'}
ge-1/1/4.3050,down,ORANGE-VPLS-BITSTREAM,{u'address-family-name': u'vpls'}
 ge-1/2/9.943,down,SIP-MSAN,inet,**** IP INTERFACE WITH NO IP ****
ge-1/3/8.2800,down,NOOR-VPLS-BITSTREAM,{u'address-family-name': u'vpls'}
 xe-2/0/0.0,down,default,inet,10.1.1.1/30



