interface,intf_op_status,vrf,ip_address
ge-0/0/3.3050,down,ORANGE-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/3.13101,down,newprintBorsa,inet,100.1.2.86/30
ge-0/0/3.13102,down,vpnmonitor,inet,5.119.63.229/30
ge-0/0/3.13103,down,newprintBorsa,inet,100.1.2.90/30
ge-0/0/3.13104,down,vpnmonitor,inet,5.119.63.245/30
ge-0/0/3.13105,down,newprintMakasa,inet,172.16.202.113/30
ge-0/0/3.13106,down,vpnmonitor,inet,5.119.64.109/30
ge-0/0/3.13107,down,newprintMakasa,inet,172.16.202.117/30
ge-0/0/3.13108,down,vpnmonitor,inet,5.119.64.121/30
ge-0/0/3.13109,down,newprint-MIST,inet,172.16.79.1/30
ge-0/0/3.13110,down,vpnmonitor,inet,5.119.64.141/30
ge-0/0/3.13111,down,newprint-MIST-EFM,inet,172.16.250.241/30
ge-0/0/3.13112,down,vpnmonitor,inet,5.119.63.201/30
ge-0/0/3.13113,down,newprint-MIST-EFM,inet,172.16.250.237/30
ge-0/0/3.13114,down,vpnmonitor,inet,5.119.63.205/30
ge-0/0/3.13150,down,TadamonBorsa,inet,100.0.1.30/30
ge-0/0/3.13151,down,vpnmonitor,inet,5.119.2.229/30
ge-0/0/3.13152,down,TadamonBorsa,inet,100.0.101.110/30
ge-0/0/3.13153,down,vpnmonitor,inet,5.119.2.125/30
ge-0/0/3.13154,down,tadamonMakasa,inet,172.16.201.53/30
ge-0/0/3.13155,down,vpnmonitor,inet,5.119.3.13/30
ge-0/0/3.13156,down,tadamonMakasa,inet,172.16.135.1/30
ge-0/0/3.13157,down,vpnmonitor,inet,5.119.2.137/30
ge-0/0/3.13158,down,default,inet,172.16.169.1/30
ge-0/0/3.13159,down,vpnmonitor,inet,5.119.2.205/30
ge-0/0/3.13160,down,default,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/3.13161,down,vpnmonitor,inet,5.119.3.9/30
ge-0/0/3.13170,down,mcitoffices,inet,10.255.10.89/30
ge-0/0/3.13171,down,vpnmonitor,inet,5.119.90.193/30
ge-0/0/3.13173,down,npoibm,inet,172.16.38.1/30
ge-0/0/3.13174,down,vpnmonitor,inet,5.120.179.253/30
ge-0/0/3.13467,down,Print-MCDR,inet,172.17.50.1/30
ge-0/0/3.13468,down,vpnmonitor,inet,5.120.21.13/30
ge-0/0/3.13619,down,Print-MCDR,inet,172.17.180.1/30
ge-0/0/3.13620,down,vpnmonitor,inet,5.120.84.113/30
ge-0/0/4.400,up,default,inet,10.40.72.49/29
ge-0/0/4.941,up,TE-MSAN,inet,10.9.154.65/29
ge-0/0/4.942,up,TE-MNGT,inet,10.239.51.49/29
ge-0/0/4.943,up,SIP-MSAN,inet,10.9.154.65/29
ge-0/0/4.1110,up,default,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/4.1146,up,vpnmonitor,inet,5.5.40.41/30
ge-0/0/4.1147,up,credit,inet,172.20.1.245/30
ge-0/0/4.1238,up,vpnmonitor,inet,5.125.40.149/30
ge-0/0/4.1239,up,arabia-brokerage,inet,172.18.19.1/30
ge-0/0/4.1264,up,default,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/4.1266,up,default,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/4.1267,up,vpnmonitor,inet,5.125.41.85/30
ge-0/0/4.1268,up,default,inet,172.17.192.5/30
ge-0/0/4.1269,up,vpnmonitor,inet,5.120.239.189/30
ge-0/0/4.1270,up,default,inet,172.17.44.221/30
ge-0/0/4.1280,up,default,inet,172.17.130.229/30
ge-0/0/4.1281,up,vpnmonitor,inet,5.125.7.85/30
ge-0/0/4.1290,up,BM,inet,172.29.184.45/30
ge-0/0/4.1291,up,vpnmonitor,inet,5.120.201.213/30
ge-0/0/4.1309,up,default,inet,10.16.213.1/30
ge-0/0/4.1349,up,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/4.2300,up,ETISALAT-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/4.2550,up,VODA-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/4.2800,up,NOOR-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/4.3050,up,ORANGE-VPLS-BITSTREAM,vpls,**** NON IP INTERFACE ****
ge-0/0/4.13121,up,mist-arabia-vpn,inet,172.18.18.1/30
ge-0/0/4.13122,up,vpnmonitor,inet,5.120.102.5/30
ge-0/0/4.13123,up,arabiaMakasa,inet,172.18.203.1/30
ge-0/0/4.13124,up,vpnmonitor,inet,5.120.107.21/30
ge-0/0/4.13125,up,arabia-MIST,inet,172.16.253.5/30
ge-0/0/4.13126,up,vpnmonitor,inet,5.120.107.25/30
ge-0/0/4.13180,up,vpnmonitor,inet,5.120.33.137/30
ge-0/0/4.13196,up,damas,inet,192.168.9.1/30
ge-0/0/4.13197,up,vpnmonitor,inet,5.30.42.1/30
ge-0/0/4.13500,up,egyarabland-cbe,inet,172.50.5.2/30
ge-0/0/4.13501,up,vpnmonitor,inet,**** IP INTERFACE WITH NO IP ****
ge-0/0/4.13520,up,kholoud-cbe,inet,172.50.105.2/30
ge-0/0/4.13521,up,vpnmonitor,inet,5.119.21.173/30
ge-0/0/4.13560,up,SFD,inet,172.16.40.1/30
ge-0/0/4.13561,up,vpnmonitor,inet,5.120.76.81/30
ge-0/0/4.13570,up,arabiaBorsa,inet,100.1.8.34/30
